headline,body,location,time_published
DAO shuts three crusher industries in Rautahat,"Following the circular from the Ministry of Home Affairs, District Administration Office, Rautahat, closed down three crusher industries operating without permission in the district.",Nepal,"14 Jan, 2023 "
WHO calls on countries to accelerate measures to eliminate measles,"On the 12th anniversary of the last case of wild polio virus in the South- East Asia Region, the World Health Organisation today called on countries, including Nepal, to take urgent and accelerated measures against measles which is on the rise with nearly nine million children having missed vaccination against the killer disease in the past two years.",Nepal,"14 Jan, 2023 "
Leader Bhusal joins CPN (Unified Socialists),"Leader Ghanshyam Bhusal joined CPN (Unified Socialists) Party today. Bhusal was welcomed to the party by Madhav Kumar Nepal, chairman of the CPN (Unified Socialists).",Nepal,"14 Jan, 2023 "
Rape-accused Sandeep Lamichhane eyes early cricket comeback,"Suspended national cricket team skipper Sandeep Lamichhane, who was released on bail in a rape case today, said he would return to cricket “very soon”.",Nepal,"14 Jan, 2023 "
Nepal records nine COVID-19 cases on Friday,Nepal records nine COVID-19 cases on Friday,Nepal,"13 Jan, 2023 "
Seven booked for graft,"The Commission for the Investigation of Abuse of Authority has filed a chargesheet at the Special Court against seven persons, including the chief administrative officer of Balawa Municipality, Mahottari, for their alleged involvement in corruption on the pretext of carrying out development activities.",Nepal,"13 Jan, 2023 "
NSU directs supporters to prepare for elections,"The Nepal Student Union, which is affiliated to the Nepali Congress, has instructed to its supporters to prepare for the students’ union elections slated for March 19.",Nepal,"13 Jan, 2023 "
Stakeholders stress need to conserve forest wetlands,Stakeholders have laid emphasis on the need to conserve and restore forest wetlands.,Nepal,"13 Jan, 2023 "
Cold wave affects life,Daily life of people in Mahottari has been affected by the cold wave for the past two weeks.,Nepal,"13 Jan, 2023 "
Foreign Policy to be fully implemented,"The National Concerns and Coordination Committee of the National Assembly has called for complete implementation of Foreign Policy, 2020.",Nepal,"13 Jan, 2023 "
"Unification with JSP-N possible, says CPN (Unified Socialist) Chairman Nepal",Chairman of CPN (Unified Socialist) Madhav Kumar Nepal has said there will be unification between the two parties only if the Janata Samajbadi Party-Nepal does not enter the government.,Nepal,"13 Jan, 2023 "
Incomplete bridge causing hassle for locals,Locals have been facing problems after an under-construction bridge could not be completed within the stipulated time in Rautahat.,Nepal,"13 Jan, 2023 "
Three contenders for speaker in Bagmati,Three persons have filed their candidacies for the speaker’s post in Bagmati Province.,Nepal,"13 Jan, 2023 "
Construction of 83pc of Postal Highway completed after decade-and-a-half,"Around one-and-a-half decade into construction, 83 per cent work on the Postal Highway has been completed. It is expected to take around three years for completion of the national pride project.",Nepal,"13 Jan, 2023 "
Sandeep Lamichhane gets bail in rape case,"After spending slightly over three months behind bars, star cricketer and former national cricket team captain Sandeep Lamichhane will get out on bail today.",Nepal,"13 Jan, 2023 "
Cold wave affects daily life in Terai,A daily life of people in Mahottari has been affected by the cold wave for the past two weeks.,Nepal,"12 Jan, 2023 "
Nepal records four COVID-19 cases on Thursday,"With this, a total of 5,995,549 PCR tests have been carried out till date.",Nepal,"12 Jan, 2023 "
Crusher plants operating against set criteria shut,"Around two dozen crusher industries operating against the standard criteria have been shut. According to District Monitoring Committee coordinator and District Coordination Committee, Tanahun, Chief Shantiraman Wagle, all 20 crusher plants in the district have been padlocked.",Nepal,"12 Jan, 2023 "
Human rights issues inadequately covered during elections,Only 1.9 per cent of the news reports produced by Nepali newspapers and online portals during the federal and provincial elections covered human rights and inclusion issues.,Nepal,"12 Jan, 2023 "
President Bhandari pays homage to Kalu Pande,President Bidhya Devi Bhandari today visited Dahachowk-based cemetery of Kaji Kalu Pande and laid a wreath on his statue.,Nepal,"12 Jan, 2023 "
Chief ministers of all seven provinces appointed,"KATHMANDU, JANUARY 11All the seven provinces have got new chief ministers after four provinces - Madhes, Lumbini, Karnali, and Sudurpaschim - elected their executive heads...",Nepal,"12 Jan, 2023 "
Life is a compass: Rewired rationality is wisdom,"All of us exemplify within and outside of us several — hidden or explicit — blurred, fluid or clear emotions.",Nepal,"11 Jan, 2023 "
Oli's remark triggers heated debate in HoR,The Lower House of the Parliament witnessed a heated debate over CPN-UML Chair KP Sharma Oli’s remark yesterday that dissolution of the House of Representative was not a regressive step as dissolution of the Lowe,Nepal,"11 Jan, 2023 "
Weather to remain partly cloudy,"There will be light snowfall in some places with partial to normal rainfall in Sudurpaschim, Karnali and Gandaki provinces today.",Nepal,"11 Jan, 2023 "
Dahal's change of attire suggests 'ideological transformation',"Pushpa Kamal Dahal, who passed the floor test with an overwhelming majority today, is a changed man. At least what he wore today and on the day he was sworn in the PM for the third time on December 26 would suggest.",Nepal,"11 Jan, 2023 "
Dahal wins trust vote with thumping majority,"KATHMANDU, JANUARY 10Prime Minister Pushpa Kamal Dahal today got the support of overwhelming majority in the House of Representatives when he sought the vote of confidence....",Nepal,"11 Jan, 2023 "
Students as teachers,"Dear students, kindly impart some ‘ecological’ wisdom to your teachers, and on a larger scale, dear children, allow me to ditto the request with regard to your parents, too.",Nepal,"10 Jan, 2023 "
Nepal's new PM secures vote of confidence in parliament,House Speaker Pashupati Rana announced that Dahal had secured the backing of a majority of lawmakers needed to win the vote of confidence.,Nepal,"10 Jan, 2023 "
Nepal records four COVID-19 cases on Tuesday,"With this, a total of 5,994,517, PCR tests have been carried out till date.",Nepal,"10 Jan, 2023 "
Government of national consensus: Easily said but difficultly done,The country’s economy is in a very bad state and can collapse any time. It is thus advisable to follow the time-tested alternate of a coalition government,Nepal,"10 Jan, 2023 "
CPN-MC not to join govt in Province 1,The CPN-Maoist Centre Parliamentary Party meeting has decided not to join the government in Province 1 for the time being.,Nepal,"10 Jan, 2023 "
UML's Khagaraj Adhikari appointed CM of Gandaki,CPN-UML leader and former home minister Khagaraj Adhikari has been appointed chief minister by Gandaki Province Governor Prithvi Man Gurung.,Nepal,"10 Jan, 2023 "
Common programme to run coalition govt announced,The seven-party alliance today announced the 21-point common minimum programme to run the government. The working group led by Deputy Prime Minister and Finance Minister Bishnu Paudel has framed the programme.,Nepal,"10 Jan, 2023 "
Oli defends HoR dissolution as new session begins,CPN-UML Chair KP Sharma Oli defended his move to dissolve the House of Representatives dismissing those who had condemned his move as ‘regressive step.’,Nepal,"10 Jan, 2023 "
Chief Minister Karki takes oath of office,"Newly appointed Chief Minister of Province no. 1, Hikmat Kumar Karki, has taken oath of office and secrecy today.",Nepal,"09 Jan, 2023 "
Common minimum program made public,The document brings together the policy priorities and minimum programs of the ruling parties.,Nepal,"09 Jan, 2023 "
Nepal records five COVID-19 cases on Monday,"With this, a total of 5,994,,101 PCR tests have been carried out till date.",Nepal,"09 Jan, 2023 "
Labour permit being issued from Janakpurdham,The institutional and individual labour permits that were earlier issued only from Kathmandu are now being issued from other provincial offices including Janakpurdham in Madhes from today.,Nepal,"09 Jan, 2023 "
Penniless mother brings injured son home for want of money,"He was to be taken to a better health facility in Dhangadi, but had to be brought home without treatment, thanks to lack of funds for treatment expenses.",Nepal,"09 Jan, 2023 "
NSP all set to forge unity with Dahal's CPN-MC,The Nepal Samajbadi Party led by Baburam Bhattarai is all set to form a negotiation committee to unite with CPN-Maoist Centre.,Nepal,"09 Jan, 2023 "
Hikmat Kumar Karki appointed Province 1 CM,Province 1 Governor Parshuram Khapung appointed CPN-UML’s Hikmat Kumar Karki as the chief minister of Province 1 this evening. Karki is the UML’s Province 1 Parliamentary Party leader.,Nepal,"09 Jan, 2023 "
School's negligence leads to girl's death,A student lost her life after she mistakenly drank spirit in Siraha’s Mirchaiya on Friday.,Nepal,"09 Jan, 2023 "
"Janmat, NUP sign 12-point pact","The CK Raut-led Janmat Party and the Ranjita Shrestha-led Nagarik Unmukti Party today reached a 12-point deal for functional unity with the aim of increasing their bargaining power ahead of the Cabinet expansion, as well as Prime Minister Pushpa Kamal Dahal’s vote of confidence in the House of Representatives.",Nepal,"09 Jan, 2023 "
Karki appointed Province-1 Chief Minister,Province Chief Khapung appointed Karki to the post as per the Article 168 (2) of the Constitution of Nepal.,Nepal,"08 Jan, 2023 "
Narayangadh-Muglin Road to open for Maghe Sankranti,"Devotees from all over the country, including from neighbouring countries, come to take a holy bath in Devghat.",Nepal,"08 Jan, 2023 "
Nepal records two COVID-19 cases on Sunday,"With this, a total of 5,993,423 PCR tests have been carried out till date.",Nepal,"08 Jan, 2023 "
Media Action Nepal establishes press awards,Media Action Nepal establishes press awards,Nepal,"08 Jan, 2023 "
Five crusher industries closed in Bara district,At least five crusher industries operated in Bara have been closed as per the directive of the home ministry.,Nepal,"08 Jan, 2023 "
